,latent_mean_0,latent_logvar_0,Gaussian_latent_var_feature_{i}
463,-1.1335477,-1.6087543,-1.3462156
464,-0.16695094,-3.2540793,-0.08813547
465,1.3953532,-5.8389773,1.4406317
466,-0.6516677,-2.2933388,-0.6702075
467,0.33105242,-3.487668,0.21949244
468,0.1508916,-3.2679834,0.050992295
469,0.33343506,-3.3742423,0.5641404
470,-0.12842149,-2.4474125,-0.37340063
471,0.77438515,-4.111281,0.56171966
472,0.87772214,-5.7813687,0.96507347
473,-0.057743564,-2.9248724,-0.45511687
474,0.38963032,-4.5561767,0.2507289
475,0.25550795,-3.4661164,0.35951924
476,-0.22919536,-2.4813943,-0.34428895
477,-0.5084613,-2.5624495,-0.8761163
478,-0.15096319,-3.1700892,-0.20284873
479,-0.10491058,-3.0230246,-0.3275687
480,-0.37164217,-2.4893107,-0.45176882
481,-0.39486128,-2.142918,-0.5958366
482,-0.10522449,-2.8413305,-0.28379583
483,-0.08988553,-3.4918766,0.08823666
484,0.72786844,-5.3242106,0.6777931
485,-0.38220596,-2.3289742,-0.123993754
486,-1.3303094,-1.7270468,-0.81333613
487,-0.29320067,-2.704298,-0.26065284
488,-0.14111221,-2.9188251,-0.3512025
489,1.7783433,-6.8895907,1.7743435
490,-0.7084426,-2.3950987,-1.1204816
491,0.40795493,-3.7906427,0.34577897
492,0.96633196,-5.263684,0.8941061
493,-0.2737222,-2.6454492,-0.21605805
494,0.22262776,-3.1965427,0.23850547
495,0.008195341,-2.7490835,0.25251848
496,0.66642344,-5.0504804,0.50925386
497,-0.3592354,-2.1684432,-0.41762596
498,0.66505015,-5.753885,0.77145773
499,-1.0221777,-1.8413397,-1.5546718
500,0.34102756,-4.358481,0.19595069
501,0.84358,-5.0371585,0.9110186
502,0.39804375,-3.9476185,0.15042152
503,1.0022117,-5.655752,1.062203
504,0.47275317,-6.163381,0.51185405
505,0.1362406,-3.2276373,-0.0757509
506,-1.298016,-1.6439492,-1.4109056
507,0.29381743,-3.3060746,0.5489037
508,-0.788569,-2.1760626,-0.6356289
509,-0.8543261,-2.0644493,-1.1108166
510,0.32578588,-3.4240623,0.3947094
511,-0.30107155,-2.3349242,-0.13607353
512,0.39408165,-4.9586186,0.44963464
513,-0.61908734,-2.1039143,-0.04825622
514,-0.63355863,-2.0394216,-0.76308453
515,0.5894703,-4.348283,0.8301487
516,-0.27870238,-2.316978,-0.77204216
517,-1.2429227,-1.7428683,-1.3473301
518,1.8055824,-5.342898,1.7633306
519,0.7563424,-5.396191,0.6850128
520,-0.5091338,-2.3467631,-0.395636
521,-0.22027236,-2.4683986,-0.050129578
522,-0.4518466,-2.330912,-0.43413985
523,-0.04088655,-3.6508946,-0.012210783
524,-0.8722352,-1.8239297,-0.98824453
525,-0.21679729,-2.5650158,-0.49314094
526,-1.0634376,-1.8930095,-1.0780015
527,0.6767955,-5.9622407,0.71489215
528,1.6321086,-7.723985,1.654225
529,-0.49678195,-2.3339915,-0.36344746
530,1.0560641,-7.7155166,1.0480787
531,-0.43058288,-2.5726357,-1.0985489
532,0.31548584,-4.5262184,0.044430137
533,0.6272137,-4.1764684,0.821424
534,-0.93565357,-1.9046999,-0.45789143
535,-1.1949623,-1.7283641,-1.6793531
536,-0.26108322,-2.9558535,0.19739133
537,0.3493822,-3.1595716,0.3995934
538,-0.6712622,-2.1632152,-0.89832246
539,-0.16569743,-3.3610067,0.04568988
540,-0.8648832,-1.849614,-0.50394607
541,-1.233953,-1.6608504,-1.6364403
542,0.36546075,-4.5170827,0.31824115
543,-0.5612958,-2.767171,-0.35630953
544,0.09097776,-3.632421,0.32623875
545,-0.12422153,-2.5827866,0.15280712
546,-0.42034554,-2.3426242,-0.17034748
547,1.4276375,-6.0285025,1.4371572
548,-0.5692477,-2.0306702,-1.0870249
549,0.6529958,-4.5198445,0.48246694
550,-0.44296002,-2.1290197,-0.6368807
551,0.07575196,-3.4048562,0.4137904
552,-1.1766142,-1.7315985,-1.9940178
553,0.3265649,-3.5737305,0.4806825
554,-0.6762965,-2.026476,-0.57177794
555,-0.2865652,-2.5740023,-0.07583086
556,0.4398335,-5.559576,0.46708798
557,0.768042,-5.849149,0.78341234
558,0.19430894,-3.0866356,-0.052413955
559,0.9447396,-6.7308106,0.99090236
560,-0.40464115,-2.35293,-0.13151783
561,0.6048949,-3.8760467,0.8208827
562,-0.06554228,-3.1730533,-0.19488262
563,-0.5387438,-2.6504593,-0.25125146
564,-0.25126684,-2.7932324,-0.09112741
565,0.85781705,-7.528029,0.84937155
566,-0.3505807,-2.1646538,0.16471839
567,0.45788234,-3.9348187,0.35786325
568,0.9147566,-6.8106027,0.90941024
569,0.8898715,-5.916808,0.90298706
570,0.3392917,-3.5832582,-0.04032737
571,-0.20641497,-2.7134728,-0.3746122
572,-0.38512796,-2.3614264,-0.4794439
573,0.5121865,-3.7131796,0.43712246
574,1.0734687,-6.0035305,1.0622178
575,-0.40164924,-2.2223253,-0.24937052
576,-0.081035316,-2.7614918,-0.6041537
577,0.45445758,-4.074944,0.67415684
578,-0.2664912,-2.0291467,-0.51106715
579,0.4444437,-4.1339455,0.562133
580,-0.06466141,-3.2053971,-0.20749353
581,-1.3416474,-1.6598021,-1.4678912
582,0.37180984,-4.1576147,0.29788566
583,-0.2992712,-2.6744266,-0.4344951
584,-0.4252314,-2.1021395,-0.76875603
585,0.34832194,-3.8603005,0.21803032
586,0.38262826,-4.29932,0.38247493
587,-0.51492727,-2.4094048,0.178217
588,-0.34068018,-2.6772022,-0.8867441
589,0.43410844,-5.7396965,0.30219465
590,0.7560885,-7.873569,0.7620758
591,-0.42475742,-2.7051005,-0.75950587
592,-0.8205453,-1.8704458,-0.51962626
593,0.62711465,-4.542504,0.836313
594,-0.03358081,-3.1901612,-0.2532118
595,0.12508649,-3.6102123,0.32379252
596,-1.53235,-1.628013,-1.4526935
597,0.3380863,-4.908251,0.41332954
598,0.65210116,-5.1914535,0.7390802
599,0.0718901,-2.7794695,0.52307343
600,-0.10902351,-2.4438663,-0.347575
601,-0.5656137,-1.9354795,-0.76921093
602,0.7007763,-5.5203805,0.8027658
603,0.57639474,-4.551259,0.50320965
604,-0.034089193,-3.1103053,0.22702275
605,0.3906851,-4.4780407,0.37477413
606,-0.6506547,-2.5250916,-1.011971
607,-1.2998887,-1.6109794,-1.7998531
608,-0.10521096,-3.661796,-0.1954863
609,0.46427128,-3.593412,0.62621784
610,-0.9065496,-1.8211199,-0.91380423
611,0.14013216,-3.2071948,0.49366987
612,0.34104016,-5.53041,0.31313488
613,1.0253336,-6.8621554,1.0342411
614,0.0078033507,-2.9458032,0.2666148
615,0.2878157,-3.3179946,0.3049758
616,0.07196815,-2.923255,0.19191772
617,-1.7483102,-1.5333089,-1.3368802
618,-0.83927083,-1.7302352,-0.932094
619,-0.2149423,-2.6012673,-0.12545127
620,-0.6482194,-2.2711368,-0.1172694
621,0.4627663,-3.5706434,0.466843
622,-1.3183659,-1.6227788,-1.6134964
623,1.4541882,-6.877596,1.469119
624,-0.19850928,-7.751987,-0.18064293
625,0.83427936,-5.3650384,0.8930572
626,-0.015794635,-2.9318867,-0.06166772
627,0.5388133,-4.378177,0.5903801
628,0.3323226,-3.966104,0.50402236
629,-0.07175496,-2.3941135,0.033383876
630,-0.076445565,-2.7815928,-0.2373031
631,1.2935508,-5.734865,1.3158056
632,1.1395895,-9.3344965,1.1393037
633,-0.44171655,-2.0938144,-0.796456
634,0.879506,-5.0630846,0.89814514
635,0.46514237,-4.4850407,0.4401577
636,-1.3115426,-1.8127688,-1.243404
637,-0.016241342,-2.4155788,-0.239708
638,0.16574693,-3.5052037,0.34238103
