,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
40,-0.07708292,0.02046971,0.009614068,-0.013092157,-1.5268781,0.04678757,0.14316344,0.024257094,1.5355629,-0.0543942,-0.0054071248,0.008275382,0.024457047,0.011098126,-1.9241695,-0.0051746657,-2.4324493,0.0014040247,-1.5074272,-0.0009017037,-0.00010871142,-0.83065796,1.8390876,0.08592394,-1.801166,-0.585434,-0.37387186,1.0253626,1.8804734,-1.8497872
41,-0.02414808,0.028871948,0.023160158,-0.025935456,0.5538611,0.013857212,1.1827265,0.020605067,0.6725546,-0.0026249997,-0.03075005,0.012944482,-0.03430623,-0.002086008,-0.95469433,-0.0031067329,-1.7711598,-0.0055908076,-1.003058,0.018723689,0.064807534,-0.0908085,-0.15964496,0.21356924,-0.14055347,-1.1107904,0.93637216,1.4894742,0.48514184,-2.157957
42,-0.029098503,0.021696534,0.0020858499,-0.01755723,0.29854584,0.02846579,0.36236632,0.020603584,1.5521252,-0.023015,-0.033088222,0.00257738,-0.013513939,-0.00931355,-1.6446836,-0.0032609124,-2.3838146,0.00046242774,-1.1913694,-0.0040553,-0.09074363,0.53005517,-0.4358855,0.79996353,0.15056676,0.22120441,0.4706724,0.31104824,0.6964749,-0.98350275
43,-0.036605828,0.024394583,0.0022749116,-0.010399632,0.10082328,0.025404084,-0.08836231,0.017430035,0.396205,-0.018401174,-0.028219927,0.00096130534,-0.019592263,-0.013031496,-1.7201606,0.0031912872,-2.7602198,0.01294667,-1.5502208,-0.0057750866,-0.42863855,-0.27223992,2.2259853,0.062203676,0.40798563,-1.0982696,0.06902054,-0.113480225,0.86703014,-1.3630205
44,-0.10976113,0.023659075,-0.046141904,0.049396306,-1.4187233,0.10222484,0.34736934,0.08289097,2.6329806,-0.16227171,0.016218146,-0.00095158396,0.05477992,0.0076455697,-2.2663178,-0.07096828,-2.5024655,0.060196355,-2.5192094,0.1001316,0.8203819,0.7983077,-0.08573025,0.26194525,-0.9428052,-1.275908,0.49652308,-0.08500406,2.5529974,0.3544635
45,-0.037551258,0.026428297,0.028827533,-0.06424603,-1.2674043,0.026925867,1.4809712,-0.005247785,-1.005246,0.0164232,-0.030163461,0.014598558,-0.0041029355,0.0149433,-0.61344826,-0.015406383,-1.5357627,0.021918887,-0.70907044,-0.019699976,0.37367675,-1.8552594,0.44820786,-0.15425086,-0.09208155,-1.7576392,1.1084265,0.09638261,-1.5091748,-0.8695898
46,-0.07974302,0.014898114,0.015541339,-0.07922294,-2.3587844,0.026135143,0.23946972,0.004021005,0.020005167,-0.026212206,-0.049877018,0.0092086475,0.01698826,0.010937011,-1.3034456,-0.054606903,-2.416101,0.013981836,-1.3173678,-0.058879584,1.5417683,-1.5767654,-1.1875725,2.5366573,-2.2321768,0.11110784,0.1555475,-0.58404547,0.37255493,-0.3812124
47,-0.03602013,0.07030493,0.00281926,-0.008470815,1.847733,0.04154156,-0.13915092,0.03998673,0.23558205,-0.012077061,-0.014168277,0.008673743,-0.06253697,-0.0025355536,-1.2839084,-0.028718408,-2.8345532,0.047606982,-1.4314113,0.045051917,-1.2225727,0.61924267,0.00032119593,-0.23268594,1.1097348,1.2223734,-0.2386786,-0.45635757,-0.62319666,-0.5148941
48,-0.026611824,0.029954799,0.009356335,-0.033791028,0.7881459,0.038635038,0.6170063,0.0076188482,-1.6330152,0.0015986692,-0.013701235,0.013845451,-0.021176137,-0.008844196,-0.9237262,0.0070035653,-2.191633,0.041732073,-1.4126134,-0.00957413,1.8298088,-0.12433045,-0.9991327,-1.7741827,0.023294032,-1.0170076,1.1259063,1.9994655,-2.1141193,1.6522337
49,-0.08484686,0.035128344,0.023602918,-0.100789554,-3.3731375,0.05554711,0.44454408,-0.020441202,-1.0360312,-0.01678142,-0.039988,0.0073250625,0.046361674,0.015957812,-2.7245548,-0.041270662,-2.3692749,0.036322735,-1.1494637,-0.09540068,-0.14430428,2.2640388,-1.1445919,0.16234669,-3.4030712,-0.7822641,0.46543467,-1.1046458,-1.4884549,0.38914776
50,-0.04286813,0.025934603,0.006366715,-0.006514244,-0.34901592,0.021972459,0.23949726,0.0072843027,-0.37578917,-0.014410953,-0.012994298,0.0054387357,-0.0034641367,-0.009913326,-1.8152132,0.016583255,-2.550079,0.013859278,-1.4540797,-0.015445878,-0.5870022,1.4524297,2.100454,-0.3160308,-0.9335599,0.7048365,0.625697,1.2582196,-0.23728748,-0.7861624
51,-0.07925905,0.0156214405,0.012248597,-0.11371192,-2.1218407,0.045986537,-0.4216804,0.009684286,1.0628746,-0.012152981,-0.099287294,-0.0051432843,-0.0034114849,0.021167597,-1.4445419,-0.06807688,-2.8863535,0.018187303,-1.5985837,-0.09115532,-1.6077019,-1.5525428,-0.17596632,-0.79228485,-0.94649506,0.09986344,-0.1148414,2.6628764,1.6825565,-0.2919012
