,latent_mean_0,latent_mean_1,latent_logvar_0,latent_logvar_1,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
165,0.20015746,-1.0346252,-1.7849094,-3.1624093,0.14472868,-1.179508
166,-0.5806645,-0.51541793,-2.0834064,-3.2650125,-0.93566513,-0.71731484
167,2.3144698,-0.21242881,-1.7687671,-3.3535516,2.7092931,-0.0551237
168,-0.9727777,0.5003803,-1.1800184,-2.3143008,-0.79991573,0.3509233
169,-0.39145535,1.544825,-1.047761,-1.6719296,-0.6660762,0.9601824
170,-8.254083,2.4308145,-6.1547837,-0.6330162,-8.211696,1.6150663
171,1.0958692,0.34193495,-1.5350289,-2.726477,1.6659377,0.13032292
172,-2.3693361,-0.4258785,-2.642457,-3.204232,-2.3990624,-0.54837215
173,2.5274644,-0.97654295,-2.665825,-3.4812858,3.0620754,-0.6962806
174,0.9230603,0.26681665,-1.5014856,-2.6662886,0.92451215,0.085582644
175,0.48255706,0.02791971,-1.3352344,-2.740348,1.0771221,-0.14357692
176,-1.6989292,-0.5594536,-1.8551662,-3.2663383,-1.9308949,-0.3628522
177,1.9181796,0.48252198,-1.712086,-2.380417,2.2068257,0.4930692
178,-1.6501415,-0.13421932,-1.5649868,-2.9746566,-1.6821979,-0.17662224
179,-0.4714557,0.68790674,-1.2356479,-2.1425908,-0.40263698,1.07453
180,0.4900676,-0.6961994,-2.271957,-3.2973564,0.55451095,-1.1077542
181,-0.9337877,-0.3230644,-1.6054521,-2.9960515,-0.97927254,-0.50383794
182,2.4209714,-0.81677914,-2.0095804,-3.9196196,2.4855,-1.0530283
183,0.1861937,1.0165299,-1.2355337,-2.0662732,0.04009886,1.3494315
184,-0.0544554,-0.27435702,-1.4815135,-2.8104925,0.35080874,-0.3339133
185,-1.9234493,0.10051277,-2.1558728,-2.8393836,-0.98274696,-0.05102706
186,-0.29916593,0.24973163,-1.2896343,-2.4777129,-0.65283656,0.45486414
187,0.12492442,0.59032583,-1.4097153,-2.350286,1.0132599,0.8209786
188,-1.2297323,0.007039666,-1.7005836,-2.976987,-1.112168,0.19940294
189,-0.3915702,-0.56348085,-1.760567,-3.1322932,-0.4188362,-0.44084004
190,1.3618232,0.109441966,-1.689791,-2.622729,0.9848771,-0.17915738
191,-1.2008407,0.59584105,-1.4210408,-2.104451,-1.2005628,0.6784465
192,0.050287604,-0.52788615,-1.7292166,-3.1990933,0.55080765,-0.6141196
193,-0.69807154,0.7047558,-1.0945125,-2.0930538,-1.0538228,1.262774
194,0.5356394,-0.18321857,-1.6395719,-2.694266,0.7425098,-0.1418366
195,-0.4292738,-0.34308174,-1.5260944,-2.883999,-0.0035916865,-0.26339135
196,0.11152351,-1.3269987,-1.8552568,-3.2604718,-0.024206653,-1.5501697
197,0.30256772,-0.14501819,-1.4713007,-2.6758862,0.4411543,-0.09311141
198,0.9448848,0.5783955,-1.36853,-2.2544644,1.4033276,0.95602185
199,1.034218,-0.5508822,-2.5705652,-3.3800602,1.1066499,-0.5660634
200,-0.08886933,0.072560996,-1.336018,-2.5786133,0.062414244,0.4000047
201,-0.8963955,0.011042386,-1.7335632,-2.9150527,-0.58343154,0.10484056
202,1.7726916,0.007959783,-1.6020675,-3.265308,2.1212785,0.19614162
203,1.3372141,0.800228,-1.4496586,-2.4115267,0.49611932,0.8616428
204,-1.83649,0.23008928,-1.3680071,-2.6101394,-1.5425417,0.1883278
205,0.40484476,-0.013854474,-1.3863002,-2.6341023,-0.16364849,0.31960016
206,0.80594885,0.6152775,-1.380558,-2.6270742,0.89708376,0.87268674
207,-0.13852757,1.2487296,-1.1599727,-1.8175915,0.84154725,1.2374402
208,-0.9442009,-0.32317305,-1.6382142,-3.0107715,-1.4982471,0.049726844
209,0.41306317,0.860618,-1.432054,-2.3826787,0.39823118,1.3826723
210,-0.010607362,-0.2648899,-1.8765049,-2.9254827,-0.2187432,-0.49542308
211,-0.6035654,-0.6524465,-1.7044578,-3.1310577,-0.5025453,-0.5290239
212,-0.26408717,0.16625586,-1.6172742,-2.628728,-0.91726494,0.23770976
213,-0.59553385,0.45112827,-1.434063,-2.3968604,-1.1111348,0.9480602
214,0.32715106,-0.33782455,-1.6245222,-2.821135,0.6102374,-0.22907339
215,0.19337535,0.009270251,-1.4329672,-2.5782847,0.18940407,-0.24423689
216,0.405164,-0.6905521,-1.8503032,-3.352357,-0.092755824,-0.8220336
217,0.15256882,-0.6821492,-2.5532146,-3.4472983,-0.32993978,-0.60328525
218,-0.8711753,-0.9580215,-1.9724681,-3.4223342,-0.7476585,-1.0675261
219,2.0934758,0.40682063,-1.7814708,-2.4337895,1.6907182,0.71509314
220,0.23019665,1.3542825,-1.0963185,-1.8052219,-0.35874915,0.7115607
221,0.06288868,1.6552192,-1.0958602,-1.6698651,0.24531823,1.1684154
222,-2.0667295,-1.0294514,-2.1087523,-3.523863,-2.0942268,-1.2167718
223,-1.7220548,-0.22719264,-1.808068,-3.25273,-2.37186,-0.16860697
224,-1.3648028,1.1930215,-1.1901109,-1.7647412,-1.6816062,0.8032373
225,0.43617833,1.0329523,-1.1626135,-1.9686168,-0.21528667,0.4514404
226,-0.9849352,0.7087765,-1.4344909,-1.97218,-1.0437293,1.2140558
227,-0.7922856,-0.12463234,-1.4070113,-2.768211,-1.6806648,-0.70047396
228,-1.6842326,-0.24351728,-1.8113198,-3.248895,-2.1295428,-0.19039387
229,-0.37191153,-0.3123638,-1.4486014,-2.8445578,0.30431056,-0.6364988
230,-0.76523185,0.62920177,-1.2695873,-2.3651533,-1.1620568,0.47702146
231,0.76868,1.2106198,-1.2413899,-1.963383,1.1876938,1.2356629
232,1.180149,0.07962164,-1.7879945,-2.5789526,1.5483315,0.16526191
233,-0.12425169,0.7566887,-1.1617651,-2.2514982,-1.0146567,1.3436145
234,1.1301957,0.46842924,-1.4179854,-2.3441737,0.97981423,0.57123345
235,1.087947,-1.3593093,-3.7571878,-4.225274,0.9753752,-1.3158879
236,-0.15742016,0.341015,-1.4167018,-2.4407034,-0.24320252,0.31766173
